PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,Mahanine,Taraxasterol,0,0,3.4989094826103586,nM
1,Mahanine,Taraxasterol,0,1,-0.5257994691024319,nM
1,Mahanine,Taraxasterol,0,3,-0.7961438153163702,nM
1,Mahanine,Taraxasterol,0,10,-4.577114752870008,nM
1,Mahanine,Taraxasterol,0,30,2.656421057176628,nM
1,Mahanine,Taraxasterol,0,100,9.792818984407408,nM
1,Mahanine,Taraxasterol,0,300,29.253695777823303,nM
1,Mahanine,Taraxasterol,0,1000,65.49307833886988,nM
1,Mahanine,Taraxasterol,1,0,0.948513799912235,nM
1,Mahanine,Taraxasterol,1,1,-1.9784963874001935,nM
1,Mahanine,Taraxasterol,1,3,-1.493264602359548,nM
1,Mahanine,Taraxasterol,1,10,-0.11630855433257548,nM
1,Mahanine,Taraxasterol,1,30,4.15592291145104,nM
1,Mahanine,Taraxasterol,1,100,11.649777406284938,nM
1,Mahanine,Taraxasterol,1,300,27.789998219886282,nM
1,Mahanine,Taraxasterol,1,1000,62.66071336596879,nM
1,Mahanine,Taraxasterol,3,0,1.8702033443742616,nM
1,Mahanine,Taraxasterol,3,1,3.5919594554467267,nM
1,Mahanine,Taraxasterol,3,3,0.5066788934263912,nM
1,Mahanine,Taraxasterol,3,10,-0.2437350919076784,nM
1,Mahanine,Taraxasterol,3,30,5.250179104816749,nM
1,Mahanine,Taraxasterol,3,100,10.16809081581974,nM
1,Mahanine,Taraxasterol,3,300,32.0547324772454,nM
1,Mahanine,Taraxasterol,3,1000,68.09974739231686,nM
1,Mahanine,Taraxasterol,10,0,2.9204476353111426,nM
1,Mahanine,Taraxasterol,10,1,1.8528515030775412,nM
1,Mahanine,Taraxasterol,10,3,3.2949450739810153,nM
1,Mahanine,Taraxasterol,10,10,1.092547398886888,nM
1,Mahanine,Taraxasterol,10,30,3.9327126184241594,nM
1,Mahanine,Taraxasterol,10,100,10.771257983635811,nM
1,Mahanine,Taraxasterol,10,300,31.074977077860048,nM
1,Mahanine,Taraxasterol,10,1000,64.47267026322127,nM
1,Mahanine,Taraxasterol,30,0,5.563543662358744,nM
1,Mahanine,Taraxasterol,30,1,5.217617291349161,nM
1,Mahanine,Taraxasterol,30,3,6.275769121147638,nM
1,Mahanine,Taraxasterol,30,10,6.748662158363201,nM
1,Mahanine,Taraxasterol,30,30,9.042134346233254,nM
1,Mahanine,Taraxasterol,30,100,18.553564373051934,nM
1,Mahanine,Taraxasterol,30,300,31.368390326218957,nM
1,Mahanine,Taraxasterol,30,1000,69.53896740744158,nM
1,Mahanine,Taraxasterol,100,0,20.63504727850225,nM
1,Mahanine,Taraxasterol,100,1,18.68141873940072,nM
1,Mahanine,Taraxasterol,100,3,20.901178426961213,nM
1,Mahanine,Taraxasterol,100,10,21.868748410319228,nM
1,Mahanine,Taraxasterol,100,30,25.353399221695,nM
1,Mahanine,Taraxasterol,100,100,27.216195671273784,nM
1,Mahanine,Taraxasterol,100,300,45.46931601907888,nM
1,Mahanine,Taraxasterol,100,1000,72.51532741720591,nM
1,Mahanine,Taraxasterol,300,0,46.63177821407334,nM
1,Mahanine,Taraxasterol,300,1,47.65166273156395,nM
1,Mahanine,Taraxasterol,300,3,51.28669723581805,nM
1,Mahanine,Taraxasterol,300,10,51.7558956935762,nM
1,Mahanine,Taraxasterol,300,30,53.51191687815496,nM
1,Mahanine,Taraxasterol,300,100,56.28368428725862,nM
1,Mahanine,Taraxasterol,300,300,65.95390127701671,nM
1,Mahanine,Taraxasterol,300,1000,82.67687155973444,nM
1,Mahanine,Taraxasterol,1000,0,83.33738526736649,nM
1,Mahanine,Taraxasterol,1000,1,79.24189307702187,nM
1,Mahanine,Taraxasterol,1000,3,80.66840205069884,nM
1,Mahanine,Taraxasterol,1000,10,81.829089094359,nM
1,Mahanine,Taraxasterol,1000,30,78.27422178378497,nM
1,Mahanine,Taraxasterol,1000,100,85.53159579043043,nM
1,Mahanine,Taraxasterol,1000,300,85.12008296625302,nM
1,Mahanine,Taraxasterol,1000,1000,93.15193543192606,nM
2,Mahanine,Tricin,0,0,4.313348851613558,nM
2,Mahanine,Tricin,0,1,-1.4147401313928114,nM
2,Mahanine,Tricin,0,3,-0.15242325307171822,nM
2,Mahanine,Tricin,0,10,6.857317188579438,nM
2,Mahanine,Tricin,0,30,10.500006395445176,nM
2,Mahanine,Tricin,0,100,37.20635664821515,nM
2,Mahanine,Tricin,0,300,70.70521357237719,nM
2,Mahanine,Tricin,0,1000,91.60235583897116,nM
2,Mahanine,Tricin,1,0,1.2937847733641867,nM
2,Mahanine,Tricin,1,1,1.0912996199696083,nM
2,Mahanine,Tricin,1,3,3.7025248759010623,nM
2,Mahanine,Tricin,1,10,5.868233119635855,nM
2,Mahanine,Tricin,1,30,13.94389109637036,nM
2,Mahanine,Tricin,1,100,36.77076932994078,nM
2,Mahanine,Tricin,1,300,68.27819726914565,nM
2,Mahanine,Tricin,1,1000,86.88489635562411,nM
2,Mahanine,Tricin,3,0,1.771153259084039,nM
2,Mahanine,Tricin,3,1,-3.006324294490189,nM
2,Mahanine,Tricin,3,3,3.0574831427298106,nM
2,Mahanine,Tricin,3,10,7.808362090219026,nM
2,Mahanine,Tricin,3,30,10.883411721735305,nM
2,Mahanine,Tricin,3,100,36.94707081611626,nM
2,Mahanine,Tricin,3,300,68.84087157453457,nM
2,Mahanine,Tricin,3,1000,92.38910156066649,nM
2,Mahanine,Tricin,10,0,-0.06641704214350463,nM
2,Mahanine,Tricin,10,1,1.6392860956519564,nM
2,Mahanine,Tricin,10,3,1.5053859918838615,nM
2,Mahanine,Tricin,10,10,4.829650286893394,nM
2,Mahanine,Tricin,10,30,16.693032491139846,nM
2,Mahanine,Tricin,10,100,37.1702706970739,nM
2,Mahanine,Tricin,10,300,70.32007982948451,nM
2,Mahanine,Tricin,10,1000,91.38932945412432,nM
2,Mahanine,Tricin,30,0,7.652428658022941,nM
2,Mahanine,Tricin,30,1,3.6365917200598243,nM
2,Mahanine,Tricin,30,3,9.017364688047936,nM
2,Mahanine,Tricin,30,10,10.316947016804043,nM
2,Mahanine,Tricin,30,30,19.592627561135025,nM
2,Mahanine,Tricin,30,100,41.88935198570149,nM
2,Mahanine,Tricin,30,300,68.1948755953746,nM
2,Mahanine,Tricin,30,1000,89.94942894813371,nM
2,Mahanine,Tricin,100,0,22.745087302528233,nM
2,Mahanine,Tricin,100,1,21.375736388052204,nM
2,Mahanine,Tricin,100,3,21.727143661164906,nM
2,Mahanine,Tricin,100,10,27.63830867634819,nM
2,Mahanine,Tricin,100,30,35.50110286382608,nM
2,Mahanine,Tricin,100,100,51.06938164559389,nM
2,Mahanine,Tricin,100,300,79.94073942381047,nM
2,Mahanine,Tricin,100,1000,88.66939454547479,nM
2,Mahanine,Tricin,300,0,45.90188547906162,nM
2,Mahanine,Tricin,300,1,51.856177603219514,nM
2,Mahanine,Tricin,300,3,49.92923825470237,nM
2,Mahanine,Tricin,300,10,53.02489711482093,nM
2,Mahanine,Tricin,300,30,57.36330179401384,nM
2,Mahanine,Tricin,300,100,68.85642866185043,nM
2,Mahanine,Tricin,300,300,86.20078216980743,nM
2,Mahanine,Tricin,300,1000,95.64722907754872,nM
2,Mahanine,Tricin,1000,0,77.85489693855442,nM
2,Mahanine,Tricin,1000,1,81.4035019734397,nM
2,Mahanine,Tricin,1000,3,81.4634419149958,nM
2,Mahanine,Tricin,1000,10,85.2971955908764,nM
2,Mahanine,Tricin,1000,30,81.07709992865256,nM
2,Mahanine,Tricin,1000,100,88.21733320351515,nM
2,Mahanine,Tricin,1000,300,93.36451135148222,nM
2,Mahanine,Tricin,1000,1000,97.9580556358462,nM
3,Mahanine,Tamarixetin,0,0,3.318409235392813,nM
3,Mahanine,Tamarixetin,0,1,0.9535359633079313,nM
3,Mahanine,Tamarixetin,0,3,-0.19960975931425318,nM
3,Mahanine,Tamarixetin,0,10,3.33003177380305,nM
3,Mahanine,Tamarixetin,0,30,11.964402952743693,nM
3,Mahanine,Tamarixetin,0,100,31.07479076224488,nM
3,Mahanine,Tamarixetin,0,300,64.3335883445107,nM
3,Mahanine,Tamarixetin,0,1000,91.75733732309796,nM
3,Mahanine,Tamarixetin,1,0,1.81871645878048,nM
3,Mahanine,Tamarixetin,1,1,0.2128528891396657,nM
3,Mahanine,Tamarixetin,1,3,-0.11982002692498717,nM
3,Mahanine,Tamarixetin,1,10,2.8174144488354713,nM
