Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM372286,0,0.103489816463544,0.0800037932947907,0.0249909993527151,0,0.0574091670008788,0.00552353238603556,0.0151957503419358,0.0255871110544575,0,0.00237307830342294,0.00245661255386624,0.0124622649654113,0,0.0148640003396673,0.120409840479783,0.112879157511121,0,0.412599005322274,0,0,0.00975587063009695,0,0.705481420684052,0.747976271918927
GSM372287,0,0.0575174577008936,0.10874625004184,0.0130379030570238,0.099383020091236,0.0855507962625258,0.00970993640403871,0.0144129551693821,0,0,0.0108024081049677,0.00216227984237239,0,0.103801428014829,0.00194630770335331,0.12251343555829,0.171002913935727,0.017914359544472,0.147918884541787,0,0.00388155635488864,0.0296981076723728,0,0.414855124848902,0.91032065077352
GSM372288,0,0.0776666618850112,0.038257293628124,0.0251383731990738,0,0.2132934950014,0.00375052417452168,0,0,0,0.0118222757026784,0.0175353598334931,0,0.0442215507717304,0.0194357275757761,0.0589386596522124,0.106515879470322,0,0.375431835109136,0,0,0.00799236399652031,0,0.621563641329467,0.804335730390428
GSM372289,0.0127900141743749,0.00712577568050865,0.0107199466394091,0.0526193797850191,0,0.0663089886598021,0.0126055488755203,0.0152213439637308,0.0119527990230131,0,0.0046421427284882,0.00718790246869514,0.00514767676136742,0.00100593952517538,0.0354114244128871,0.11406609379167,0.186550001688878,0,0.449721017125746,0,0,0.00692400469571489,0,0.685790643859139,0.755752582067737
GSM372290,0,0.0294585469358315,0.042474695829845,0.0122580070237621,0.0163825021109667,0.105736989085191,0,0.018873043860796,0.00174843980754771,0.0150056048231562,0,0.000992831141867776,0,0,0.0300786310233495,0.0578107294067072,0.308523524737467,0,0.352127568821136,0,0,0.00852888539237712,0,0.555896272586442,0.839753777681232
GSM372291,0,0.0473332923222814,0.0485690343393933,0.0142162017622258,0,0.08218869151273,0,0.0465061228435796,0.01044532294591,0,0.0290161563902855,0,0,0.130187644849101,0.031971895234151,0.131827841979668,0.108943101542766,0.0181249662164087,0.21831256385263,0.0430960660392022,0,0.0392610981696682,0,0.479682876123562,0.880631032679512
GSM372292,0,0.0735785820008515,0.0655440175115247,0.00758194805333571,0.00686280271620332,0.134355471109327,0,0.0361928791835634,0.00866495376743076,0,0,0.0102167319418398,0,0.0687056108134749,0.0303067166879591,0.0391293246181963,0.186117192544141,0,0.325337628392301,0,0,0.00740614065985217,0,0.445070015352593,0.896014416878469
GSM372293,0,0.0801436302103047,0.0303746552520214,0,0,0.127279599200614,0,0.0280095519296044,0.0122653866924136,0.000721834538696324,0.00647228590415297,0.0114709405109978,0.00294722998230955,0.00700774920986463,0.0151297573500161,0.0684170067246243,0.324597364786312,0.00318705641471549,0.247043093340285,0,0.000437625594502213,0.0344952323585661,0,0.470941027158196,0.885022941066989
GSM372294,0,0.0507346724498683,0.0433374745315766,0.0175883836269259,0.00680510784393582,0.100709016846578,0.00604370731002257,0.0223480120891681,0.0058561692511529,0.0028629422109491,0,0.0268649710823556,0,0.0311405912668162,0.0164566919322622,0.0852477932354731,0.141109978376675,0,0.428313671879223,0,0,0.0145808160670174,0,0.634259455147169,0.791723337810874
GSM372295,0,0.0378678735763906,0.0792666394054597,0.0138703306378319,0,0.122432586107143,0,0.0274958277058397,0,0.00596629315764381,0,0.0100647312653192,0,0.0427750052125228,0.0266269243890924,0.0774212537137385,0.0550388262587913,0.00581810882662529,0.491845146424849,0,0,0.00351045331875277,0,0.621057410189496,0.791624070518333
GSM372296,0,0.0369573890762121,0.0497788906810967,0.0284855578368067,0.0516645373432813,0.0735374250519588,0,0.0103276180911142,0,0,0,0.00856796000976622,0,0.0141850331949193,0.0225142319686773,0.0851400998514773,0.253156982548666,0,0.359829630936143,0,0,0.00585464340988162,0,0.612146567614562,0.810618395665642
GSM372297,0,0.0664650731825913,0.37683052953749,0.00288659369130697,0.00532205538085905,0.0846518312537045,0.00846862434936968,0.0303438383682225,0,0.00455135885039068,0.00111092315066958,0.012734330051084,0,0.0130572559029606,0.0528448761348597,0.0939178310673281,0.0606973106605989,0.0096905036301304,0.159526157625104,0,0,0.01690090716333,0,0.64688575568725,0.76266183821282
GSM372298,0,0.043931168323874,0.0250849612211547,0,0,0.168911044386366,0,0.0141502465356597,0.00214658246608884,0,0,0.0373269220197076,0.000316777328747665,0,0.022322027052291,0.0728857917819469,0.175066593084019,0,0.422929431847223,0,0,0.0149284539529212,0,0.650546918369071,0.782220158709343
GSM372299,0,0.0461758482346014,0.0985122194058427,0.00285064051648754,0,0.140601899493582,0,0.0246814921552907,0,0,0.00144571343018187,0.0041261074084171,0,0.0363267058616159,0.0289513564094401,0.0284446644016617,0.147887237181014,0,0.432453350913293,0,0,0.00754276458857214,0,0.631164002054585,0.79097418347501
GSM372300,0,0.0716650765874947,0.0407648157596255,0.0208952407810448,0,0.119293918837055,0.0116568430742498,0.0174914689628547,0.0210640910163601,0,0,0.0209168135935664,0,0.0229777556525938,0.0155923400595283,0.0296329318002176,0.223496574561557,0.00637228852815464,0.357236131079942,0,0,0.0209437097057558,0,0.525722406065332,0.856325189029641
GSM372301,0,0.0408214128746187,0.0393719229469793,0.0139858219907314,0,0.0987207465351868,0,0.0570722538110785,0.0265414080934021,0.0151514446766501,0,0.017156768300702,0,0.0349596755647777,0.0287683687782759,0.0812779941620759,0.211606998367965,0,0.312750309248266,0,0.0020261654998521,0.0197887091494388,0,0.429943440324322,0.90305217490677
GSM372302,0,0.0734530826314939,0.0697275040695406,0.00510941748026937,0.00562307276679321,0.100828622117537,0.00458965928369093,0.0623560027294909,0.000751578394815211,0.00939382490296921,0.0140541547640144,0,0,0.0285481805010365,0.0354238010582338,0.079147654213059,0.269304383289001,0,0.184657957547562,0,0.00816839767177988,0.0488627065787132,0,0.421317476383896,0.907585662667221
GSM372303,0,0.0656100452464835,0.0448194067076007,0,0.0136126397220328,0.294656878712902,0.0152272174351545,0.00688930273718445,0,0.000344218262642308,0,0.0180553294080475,0,0.0251364268765677,0.0139170184825312,0.0338730344630415,0.182278717900495,0.00187865403664086,0.256018413142888,0,1.86317476342656e-05,0.0276640651181534,0,0.501629958156497,0.871175032840621
GSM372304,0,0.0466209068739703,0.0318932382393623,0.00764344279404581,0.05038176028238,0.184811329682001,0.0135402207336923,0,0,0.0483271753214397,0,0.00451943769289304,0,0.0554981104753809,0.0161774978748634,0.0987438588087248,0.05820652911027,0,0.369362498379629,0,0,0.0142739937313473,0,0.569139410947433,0.832735806839402
GSM372305,0,0.0501309334854062,0.181807765957423,0,0.0157190537592551,0.0836537002032442,0,0.00808112687017008,0.000560470061157148,0,0,0.0181089951287398,0,0,0.0253807074322613,0.061346317342496,0.21086939966758,0,0.337904330602699,0,0,0.00643719948956795,0,0.661507670085042,0.774153218780278
GSM372306,0,0.0177422000352735,0.0358484516208905,0.112723074064536,0,0.0392598474311951,0.007253074146404,0.0225972891225589,0,0.0421646626744249,0,0,0,0.00280666142780977,0.0392807759057774,0.0838863390155276,0.241532598282374,0,0.348433953143337,0,0,0.00647107312989069,0,0.612014015483012,0.811698569458222
GSM372308,0,0.0944234351390904,0.0526109340142052,0.0248430572189304,0.00532603058438502,0.239498629130225,0.018408438656885,0.00438828730312874,0,0,0.00668406856647523,0,0.000561848583852938,0.0298341420246919,0.061429488176721,0.0645541061574818,0.191447560524299,0.00696873417906943,0.179649563337558,0,0,0.0193716764030011,0,0.665953518607771,0.800519974693397
GSM372310,0,0.0181055047491752,0.0208832514872808,0.0355674772980527,0.0102892692748504,0.202810184287688,0.0309205358307219,0.00922967842180168,0,0,0.00276502880227262,0,0,0.0469344407743827,0.11479841643712,0.0963023458834494,0.139698942418228,0,0.251392776716803,0,0,0.0203021476181738,0,0.634518195592951,0.806754145359668
GSM372312,0,0.0410169716776647,0.0246465696885359,0.0195830240454344,0.0326457729988247,0.193447837511633,0.0136111095465731,0.0164511148961632,0,0,0.0321456062133315,0,0.0379988529071122,0.0406893452571652,0.0360481397156303,0.0448010757910884,0.160594992997954,0.04111571125,0.244933486426555,0,0,0.0202703890763342,0,0.619373440343866,0.821273517957213
GSM372314,0,0.0350321110246926,0.0185776618678237,0.0100704734719424,0.0351464036279573,0.0560672614744292,0,0.0350071423894863,0.0103434242360773,0,0,0.0209200171313711,0.0022598384061119,0.0727628809763879,0.0328843318673901,0.144445880455204,0.175670384168236,0,0.335019584646043,0,0,0.0157926042568475,0,0.666557287734983,0.784110932601996
GSM372316,0,0.0370022595067587,0.0206261958753827,0.0175814928073188,0.0446799775349087,0.137962312408236,0.0971401867683119,0.0124085723132804,0,0.0112118656895229,0.0173749489860523,0,0,0.0582862285840042,0.192781268204663,0.0864666897863168,0.113612403983403,0,0.118970534785599,0,0,0.0338950627662422,0,0.729251879656669,0.748059397230028
GSM372318,0,0.0566153983124872,0.0793582352825871,0.0610390377430989,0.0524290195876657,0.161468786090376,0.0406149345741678,0.043938314936509,0,0.037214250584882,0,0.00921529287460692,0,0.0671717417315761,0.0659632935766856,0.0405942925784768,0.0990834903708289,0.0337578946238602,0.123985715014124,0,0,0.0275503021180684,0,0.681393519093065,0.789091358400882
GSM372320,0,0.0532774005370558,0.0260008958707003,0.0102917157576601,0,0.16825910956592,0.00231431692327387,0.0709570395701719,0.0139962085120693,0,0.00406887187048285,0.0285950315511895,0.00129238214411604,0.115048777787431,0.0504291502801927,0.0469940540389823,0.267719635914315,0.0540433781720532,0.0672682419593618,0.00099332794395407,0.000456251526050348,0.0179942100750196,0,0.483390716019092,0.879812082539916
GSM372322,0,0.0300010167435021,0.0180060870432074,0.0468969663059628,0,0.219333961946675,0.038055534200586,0.0447228854612735,0,0.00327528715691957,0.0151281095396805,0,0.0144331438375843,0.041869890731124,0.0734876549670226,0.0830099778020399,0.174632886959228,0.0140629646513933,0.157885893643258,0,0,0.0251977390105433,0,0.548190718845711,0.853839123307385
GSM372324,0,0,0.0207440303850283,0.00615141489505952,0,0.145396133521075,0.0289159884920986,0.0527867891108876,0.0164883439315757,0.0805114413326111,0,0,0,0.030362197331067,0.0815761572025543,0.116543040656257,0.206746854046314,0,0.195749738183171,0,0,0.0180278709123013,0,0.574494806085097,0.840556903900835
GSM372325,0.0246698465268403,0,0.014502504355354,0.0666904245612502,0,0.0189430258263313,0.0472084192675661,0.0576151152022797,0.0232562731614061,0.0815625891450875,0,0.00419100635425099,0,0.0208898504848535,0.110785775265142,0.124189261389559,0.15417437153256,0,0.233977369154066,0,0,0.0173441677734536,0,0.639493497000285,0.806493633926439
GSM372327,0,0.016853073289156,0.0166141607642441,0.0437560041528144,0.0285406931875339,0.12585840551846,0.0350747266973839,0.0266339748987684,0,0,0.0254537451037788,0,0.00089929453464026,0.0752766224955334,0.16347779311448,0.0923779241893589,0.202796418374442,0.0267741485429277,0.11040484046409,0,0,0.0092081746723886,0,0.767886726882104,0.727998297603022
GSM372329,0,0.0194589258506672,0.0150605339625728,0.0229624318786194,0,0.148570735089847,0.0591473596257649,0.0590706062995741,0,0,0,0.0107635028971625,0,0.0731548928032748,0.086876847206105,0.167196444542098,0.118302946673559,0.00527458636719068,0.170675616802447,0.0178906160179012,0,0.0255939539832169,0,0.756402189264595,0.753570452679927
GSM372331,0,0.0117360481234043,0.0120213915076247,0.000663923893100174,0,0.195928802963522,0.00915029906522245,0.0205856460692346,0,0,0.0183166332039916,0.00756416799155763,0,0.0145058825268156,0.0814606959927905,0.245145951383066,0.115905436130972,0,0.250687172101292,0,0,0.0163279490474072,0,0.734179948447897,0.756446498936321
GSM372333,0,0.0613184687873335,0.0330090955450557,0,0,0.128700909629286,0,0.0494514482322245,0.0323925805490593,0.00454978644855561,0,0,0,0.178865156848449,0.0453929864551609,0.131957473346796,0.105650612498696,0,0.212083428397881,0,0,0.0166280532615021,0,0.511413794336851,0.866825405119307
GSM372334,0,0.0465942230891007,0.022125511409485,0.00616732929910324,0,0.156073228803694,0.0191805166516021,0.0491048114339205,0.00164426931356662,0,0.021612657122799,0,0,0.0405232261175489,0.0707260927030778,0.0291835462744674,0.419031836748096,0.0122101167650299,0.0822629157164169,0,0,0.0235597185520925,0,0.580168073753853,0.831876571748929
GSM372336,0,0.025697281548195,0.0014164081282405,0,0.0821029816869184,0.178823136907871,0.0448722737285838,0.0180737416263676,0.0203458263870401,0.0366831595171155,0,0.0388587185339478,0,0,0.122281979823432,0.0262276647436865,0.227184372707599,0.0628861324899668,0.101065466335382,0,0,0.0134808558356541,0,0.783615904392572,0.719263052573049
GSM372338,0,0.0343931102567914,0.0250531896319323,0.0187180178404546,0,0.220381502690041,0.0574439093513169,0.073087812368948,0,0,0.0483037914401225,0,0.00214776101061741,0.0662999890195068,0.0466381230818131,0.0250433389855592,0.230927403197466,0.0457157155354103,0.0731586106756241,0,0.00783745323622324,0.0248502716781733,0,0.47685569383216,0.883995896550161
GSM372340,0,0.0217536305677811,0.0193462900086355,0.0169297304331345,0,0.221230983059415,0.067764483146412,0.0434616915482334,0,0,0.0211576509200199,0,0,0.0934906346380998,0.153779612371257,0.123891970491146,0.104994539846383,0.0139833938667291,0.069039282867141,0.00989143294249406,0,0.0192846732931195,0,0.666902753838978,0.785856893123141
GSM372342,0,0.0170622114651445,0.0137339657799483,0.00996404680753653,0.0198055144853016,0.247786473599364,0.0640204332399325,0.0283011489035403,0,0,0.0236194922915484,0,0,0.0512124647005323,0.124706179967431,0.0923760720811409,0.171310869271368,0.00728848234014025,0.119840386858327,0,0,0.00897225820874456,0,0.717903339435928,0.767130558500978
GSM372344,0,0.0203391853099092,0.0200968053174184,0.0108461774514094,0.00263407454417105,0.14129029173891,0.100427029164106,0.0464389810316318,0,0,0.00711654393576356,0.00714758213513285,0,0.0240676809018591,0.104712384130298,0.0561990081927964,0.210409210395223,0.0269935718102324,0.164153568139791,0.0356907722907506,0,0.0214371335105973,0,0.592877789523585,0.831045210933764
GSM372346,0,0.0247966663257467,0.0126862652038197,0.00727162262661176,0,0.210799841054074,0.0486100461246695,0.0882706045433528,0,0,0.0192214011447136,0,0,0.086304665477859,0.0804871891221912,0.111911808672053,0.142642170752652,0.0143826804208849,0.142223423908517,0,0,0.0103916146228556,0,0.65880111436514,0.802063413561341
GSM372348,0,0.00291162770850734,0.009510191809419,0.0340529288874866,0.000335380504073166,0.145718089776189,0.079964249007568,0.0599877701890021,0.0062941190267397,0.0488980279771338,0,0,0,0.00984725661738841,0.0947666813281506,0.129497325202478,0.243748865594609,0.00554093069106422,0.123477991052122,0,0,0.00544856462806783,0,0.731393772027606,0.76535595568698
GSM372350,0.00300869277339868,0.0107949516390928,0.0154129740627779,0.00388040572978595,0.0536630861121716,0.0567511623013596,0.012538155659576,0.0481826498729871,0.0033273979066511,0.036887634253632,0,0,0,0.0420741290136486,0.0629363717334084,0.166050959723135,0.193577308467797,0.0834337243963421,0.136073553345243,0,0.0334049893452561,0.0380018536637374,0,0.530708282396541,0.859899713101882
GSM372352,0,0.112163356648056,0.124155332229101,0.0341283501827726,0.0281250507821258,0.104108208487765,0.0415439595173833,0.0144602671595674,0,0.0215069546437011,0,0,0.00456016416436202,0.0126380640819936,0.0158761305218049,0.0608706523625275,0.125609611088502,0,0.286245656922404,0,0,0.0140082412079342,0,0.769885459980689,0.726752236954669
GSM372354,0,0.0546506215704343,0.0385141786870269,0.0121477526340306,0.0202635922771286,0.0515287453216025,0.00642402750954789,0.072360945185346,0.0136212579662301,0,0,0.018665628192439,0,0.134987909563219,0.0345058203841283,0.084946834472731,0.186471350511469,0.0367340150519275,0.21111222104336,0,0,0.0230650996293801,0,0.509883553493884,0.869251978161576
GSM372356,0,0,0.0237368952060362,0.0461881404452277,0.0113920291222206,0.0810703381252163,0.0411377946868399,0.0878358898640684,0,0,0,0.0371036829919765,0,0.108882826028251,0.116105288557187,0.0879701767729149,0.150940161324068,0,0.184271027530624,0,0,0.0233657493453696,0,0.673442109381771,0.789674372013899
GSM372358,0,0.0353147201056458,0.0161604271630172,0.017009479069165,0.040657396534745,0.19572678605624,0.0287301184934914,0.0300370769078556,0.00567169497155097,0,0,0.0219887468707946,0.0114616403208651,0.0441746487550112,0.0373855048775422,0.117584413937455,0.118558222890901,0.0787253227293498,0.173360673727204,0.00454887431688544,0,0.0229042522722815,0,0.700124585615568,0.785182476074951
GSM372360,0,0.0280372472044017,0.0186575081421887,0.0229658294723225,0.0307678485587277,0.146882328002832,0.0238383239087133,0.0297599996436349,0,0,0,0.0114848781202873,0.00116318177993421,0.0415269528636998,0.065439134493223,0.140231206015517,0.204599345064741,0.00918625196162355,0.205871495134431,0,0,0.0195884696337216,0,0.573116028565981,0.842122935442936
GSM372362,0,0.0226277760412892,0.0169336336131191,0.0613067019880547,0,0.18843682417616,0.0279833811498919,0.0341624753402604,0,0,0.00323625303038961,0.00771036964746397,0,0.0775359670903777,0.122310956390786,0.0673712208805499,0.148361121573943,0.00145936563384535,0.190800889777983,0,0,0.0297630636658864,0,0.584796693363283,0.832158944825513
GSM372364,0,0,0.023232324309217,0.0420809929367257,0.0670593183165311,0.0697781244998681,0.044342728579327,0.0626595081776478,0.0103536768957103,0.0106926503622646,0.000448638067621105,0,0,0.140459611249942,0.0457546233512724,0.0958149602646332,0.164251855261219,0.0355921715498093,0.168752918603456,0,0,0.0187258975747552,0,0.721154645125689,0.771194001460336
GSM372365,0,0.0127658217170552,0.0241488229249131,0,0,0.114573192924015,0.0239575479244931,0.0531354305478204,0.028157554761008,0,0.0078924673000758,0,0,0.0434115382852336,0.0906644130312488,0.0360664784266057,0.314299319390154,0,0.228390576490381,0,0,0.0225368362769958,0,0.598036780075794,0.825172881824277
GSM372366,0,0.0492465176209842,0.0338210263945984,0.0186036367017769,0,0.132967664076562,0.0155449636793799,0.0606522753959678,0.00393329991833289,0,0.0167300731051853,0.000513677543554309,0.000350528503011052,0.0975276461513744,0.0663229226787734,0.0817849641541839,0.213071281908099,0.022013024606464,0.163254885622207,0,0,0.023661611939546,0,0.571506095798234,0.84398494753254
GSM372367,0,0.066654697746834,0.0284868141381116,0.0285018549152131,0,0.157030861862715,0.00803877376341311,0.0427699555041994,0.00762988090507306,0,0,0.022248661793753,0,0.00412260953118276,0.0247729736073688,0.0705257386259371,0.256803766090914,0.00898621719058222,0.244507954319742,0,0,0.0289192400049608,0,0.605947961248523,0.825250712399189
