,Eccrine_gland,Endothelial,Fibroblast,Keratinocyte,Mast,Melanocyte,Myeloid,Nerve,Smooth_muscle,T_cell,condition
GSM372286,0.058979022161858755,0.06445969171887427,0.40982988773766704,0.2811985331798066,0.0,0.18553286519998025,0.0,0.0,0.0,0.0,healthy
GSM372287,0.07177854897077296,0.09415738025894141,0.3029567344205085,0.3062005976805914,0.0,0.22490673866725064,0.0,0.0,0.0,0.0,healthy
GSM372288,0.05962295065835813,0.06624424660125557,0.42008385500126205,0.285281078156923,0.0,0.16876786958034765,0.0,0.0,0.0,0.0,healthy
GSM372289,0.06351519095485512,0.073405183010043,0.43518308941829764,0.26169497953215276,0.0,0.1662015570828218,0.0,0.0,0.0,0.0,healthy
GSM372290,0.06826092357489755,0.05514627973875204,0.38835331835059184,0.2809639075086439,0.0,0.2072755708252902,0.0,0.0,0.0,0.0,healthy
GSM372291,0.05872303279423976,0.11107724637368811,0.28139230624884193,0.3142263187073328,0.0,0.23458109587395623,0.0,0.0,0.0,0.0,healthy
GSM372292,0.07051594536739918,0.048948122944547624,0.32158001692954935,0.2842534775150148,0.0,0.2747024372416662,0.0,0.0,0.0,0.0,healthy
GSM372293,0.07084456743567567,0.045548791472642874,0.25178414947524647,0.32883910975523034,0.0,0.3029833818592724,0.0,0.0,0.0,0.0,healthy
GSM372294,0.06316870810727267,0.05058707078048851,0.38215541377307577,0.28100834189848556,0.0,0.22308046543877294,0.0,0.0,0.0,0.0,healthy
GSM372295,0.06576270005617076,0.10243195792240085,0.2966303407405344,0.31053513305105196,0.0,0.22463986822788654,0.0,0.0,0.0,0.0,healthy
GSM372296,0.06389344327597336,0.07021962753113448,0.36608145163132005,0.3071082715331203,0.0,0.19269720602655813,0.0,0.0,0.0,0.0,healthy
GSM372297,0.06366721920714775,0.13987819397016352,0.3158891434551172,0.293666323636688,0.0,0.18689911972899365,0.0,0.0,0.0,0.0,healthy
GSM372298,0.06408477138270499,0.0886124287232353,0.3540942229292247,0.281803874647537,0.0,0.21140470231545025,0.0,0.0,0.0,0.0,healthy
GSM372299,0.06320357880695883,0.06272929166174403,0.3221225736234083,0.29605596412206403,0.0,0.2558885917839498,0.0,0.0,0.0,0.0,healthy
GSM372300,0.0699982843684746,0.05926743359032255,0.3123846778339574,0.31292820711759134,0.0,0.24542139708776034,0.0,0.0,0.0,0.0,healthy
GSM372301,0.0678088042003136,0.06858098520660982,0.3280213019167294,0.2922360768424164,0.0,0.243352831832096,0.0,0.0,0.0,0.0,healthy
GSM372302,0.06928050970749124,0.07534809418676608,0.29909691177985487,0.30444184109324246,0.0,0.25183264323074994,0.0,0.0,0.0,0.0,healthy
GSM372303,0.059274482791679066,0.07043176627881093,0.2809060459930114,0.3248024218789389,0.0,0.2645852830556494,0.0,0.0,0.0,0.0,healthy
GSM372304,0.06977474762029598,0.1248215560816524,0.3648746488619017,0.2883931396048773,0.0,0.15213590782942432,0.0,0.0,0.0,0.0,healthy
GSM372305,0.0591096788804218,0.05891448207561854,0.4134824227473857,0.2829294624521707,0.0,0.18556395384252566,0.0,0.0,0.0,0.0,healthy
GSM372306,0.056418509619231415,0.07443610706469109,0.38240668795600036,0.30427579131747745,0.0,0.18246290404071933,0.0,0.0,0.0,0.0,healthy
GSM372307,0.06989461581884511,0.07730323989405194,0.39278931789098515,0.2823141347367821,0.0,0.17769869165749533,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372308,0.06471570651762824,0.07013528705036806,0.3365524092192093,0.30839741340579796,0.0,0.22019918380510342,0.0,0.0,0.0,0.0,lesional
GSM372309,0.07040653565451807,0.0549988933623578,0.3275055920258624,0.3135324541138402,0.0,0.23355652484151768,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372310,0.06488933678207329,0.06385269066359335,0.34001212093023553,0.3165522118395822,0.0,0.21469363978261624,0.0,0.0,0.0,0.0,lesional
GSM372311,0.06502213322358537,0.05135953799322429,0.40389680775441167,0.24924843407030714,0.0,0.2304730869566728,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372312,0.06247706519597087,0.08295910031845774,0.3474904743347088,0.31877896077775547,0.0,0.18829439937117992,0.0,0.0,0.0,0.0,lesional
GSM372313,0.06620811217357728,0.07179095945795474,0.3804981882537783,0.27942976446402595,0.0,0.202072975648808,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372314,0.06141653045771734,0.06200870301845128,0.34258588470445284,0.30458430769704953,0.0,0.2294045741204439,0.0,0.0,0.0,0.0,lesional
GSM372315,0.06853914920666745,0.08489232104981752,0.3568964032253412,0.3041471710342595,0.0,0.18552495548202994,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372316,0.05840711912116295,0.07014175132809795,0.3356248521075356,0.3235871829839635,0.0,0.212239094457311,0.0,0.0,0.0,0.0,lesional
GSM372317,0.059341414328605,0.058162121688904216,0.38588928204604844,0.2808224462965032,0.0,0.21578473563810902,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372318,0.05781697809702467,0.06961295654238461,0.27505976979262853,0.3310598259019377,0.0,0.2664504696640681,0.0,0.0,0.0,0.0,lesional
GSM372319,0.054112781483580404,0.054249173394594535,0.3487206118320507,0.27999247134153005,0.0,0.26292496194638504,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372320,0.014635426279118083,0.06784029698434682,0.23508574011338035,0.3732441490619335,0.0,0.3091943875591252,0.0,0.0,0.0,0.0,lesional
GSM372321,0.008140671572289475,0.07944699653736209,0.36156573098095346,0.2995688378725426,0.0,0.25127776303493526,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372322,0.012256129722980789,0.08586206372638672,0.3200039828390325,0.3463504314953403,0.0,0.2355273922142322,0.0,0.0,0.0,0.0,lesional
GSM372323,0.04929946398349493,0.05630012493954009,0.2968878523578172,0.3117336972299034,0.0,0.28577886148733933,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372324,0.028491963993829184,0.061157466277174465,0.31787853077403044,0.3209678856391689,0.0,0.2715041533138546,0.0,0.0,0.0,0.0,lesional
GSM372325,0.05527769278189963,0.06124706499010794,0.32621922861244756,0.30933820296310816,0.0,0.24791781065052096,0.0,0.0,0.0,0.0,lesional
GSM372326,0.014438043301127218,0.05862584675966863,0.3485518436865351,0.3224180806718866,0.0,0.25596618557885215,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372327,0.011316083883163713,0.08469908540187276,0.31056515173947297,0.34091713428531545,0.0,0.25250254468816785,0.0,0.0,0.0,0.0,lesional
GSM372328,0.015243466165763568,0.06328528156770401,0.27633539248226796,0.36684083249977556,0.0,0.2782950272824664,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372329,0.011730545766122284,0.07322101386828758,0.363839045214857,0.31920345643159015,0.0,0.23200593871716552,0.0,0.0,0.0,0.0,lesional
