,title,condition
GSM372286,"Normal Skin, Normal-1",healthy
GSM372287,"Normal Skin, Normal-2",healthy
GSM372288,"Normal Skin, Normal-3",healthy
GSM372289,"Normal Skin, Normal-4",healthy
GSM372290,"Normal Skin, Normal-5",healthy
GSM372291,"Normal Skin, Normal-6",healthy
GSM372292,"Normal Skin, Normal-7",healthy
GSM372293,"Normal Skin, Normal-8",healthy
GSM372294,"Normal Skin, Normal-9",healthy
GSM372295,"Normal Skin, Normal-10",healthy
GSM372296,"Normal Skin, Normal-11",healthy
GSM372297,"Normal Skin, Normal-12",healthy
GSM372298,"Normal Skin, Normal-13",healthy
GSM372299,"Normal Skin, Normal-14",healthy
GSM372300,"Normal Skin, Normal-15",healthy
GSM372301,"Normal Skin, Normal-16",healthy
GSM372302,"Normal Skin, Normal-17",healthy
GSM372303,"Normal Skin, Normal-18",healthy
GSM372304,"Normal Skin, Normal-19",healthy
GSM372305,"Normal Skin, Normal-20",healthy
GSM372306,"Normal Skin, Normal-21",healthy
GSM372307,"Uninvolved Skin, NS-1",Uninvolved Skin
GSM372308,"Lesion Skin, LS-1",lesional
GSM372309,"Uninvolved Skin, NS-2",Uninvolved Skin
GSM372310,"Lesion Skin, LS-2",lesional
GSM372311,"Uninvolved Skin, NS-3",Uninvolved Skin
GSM372312,"Lesion Skin, LS-3",lesional
GSM372313,"Uninvolved Skin, NS-4",Uninvolved Skin
GSM372314,"Lesion Skin, LS-4",lesional
GSM372315,"Uninvolved Skin, NS-5",Uninvolved Skin
GSM372316,"Lesion Skin, LS-5",lesional
GSM372317,"Uninvolved Skin, NS-6",Uninvolved Skin
GSM372318,"Lesion Skin, LS-6",lesional
GSM372319,"Uninvolved Skin, NS-7",Uninvolved Skin
GSM372320,"Lesion Skin, LS-7",lesional
GSM372321,"Uninvolved Skin, NS-8",Uninvolved Skin
GSM372322,"Lesion Skin, LS-8",lesional
GSM372323,"Uninvolved Skin, NS-9",Uninvolved Skin
GSM372324,"Lesion Skin, LS-9",lesional
GSM372325,"Lesion Skin, LS-10",lesional
GSM372326,"Uninvolved Skin, NS-11",Uninvolved Skin
GSM372327,"Lesion Skin, LS-11",lesional
GSM372328,"Uninvolved Skin, NS-12",Uninvolved Skin
GSM372329,"Lesion Skin, LS-12",lesional
GSM372330,"Uninvolved Skin, NS-13",Uninvolved Skin
GSM372331,"Lesion Skin, LS-13",lesional
GSM372332,"Uninvolved Skin, NS-14",Uninvolved Skin
GSM372333,"Lesion Skin, LS-14",lesional
GSM372334,"Lesion Skin, LS-15",lesional
GSM372335,"Uninvolved Skin, NS-16",Uninvolved Skin
GSM372336,"Lesion Skin, LS-16",lesional
GSM372337,"Uninvolved Skin, NS-17",Uninvolved Skin
GSM372338,"Lesion Skin, LS-17",lesional
GSM372339,"Uninvolved Skin, NS-18",Uninvolved Skin
GSM372340,"Lesion Skin, LS-18",lesional
GSM372341,"Uninvolved Skin, NS-19",Uninvolved Skin
GSM372342,"Lesion Skin, LS-19",lesional
GSM372343,"Uninvolved Skin, NS-20",Uninvolved Skin
GSM372344,"Lesion Skin, LS-20",lesional
GSM372345,"Uninvolved Skin, NS-21",Uninvolved Skin
GSM372346,"Lesion Skin, LS-21",lesional
GSM372347,"Uninvolved Skin, NS-22",Uninvolved Skin
GSM372348,"Lesion Skin, LS-22",lesional
GSM372349,"Uninvolved Skin, NS-23",Uninvolved Skin
GSM372350,"Lesion Skin, LS-23",lesional
GSM372351,"Uninvolved Skin, NS-24",Uninvolved Skin
GSM372352,"Lesion Skin, LS-24",lesional
GSM372353,"Uninvolved Skin, NS-25",Uninvolved Skin
GSM372354,"Lesion Skin, LS-25",lesional
GSM372355,"Uninvolved Skin, NS-26",Uninvolved Skin
GSM372356,"Lesion Skin, LS-26",lesional
GSM372357,"Uninvolved Skin, NS-27",Uninvolved Skin
GSM372358,"Lesion Skin, LS-27",lesional
GSM372359,"Uninvolved Skin, NS-28",Uninvolved Skin
GSM372360,"Lesion Skin, LS-28",lesional
GSM372361,"Uninvolved Skin, NS-29",Uninvolved Skin
GSM372362,"Lesion Skin, LS-29",lesional
GSM372363,"Uninvolved Skin, NS-30",Uninvolved Skin
GSM372364,"Lesion Skin, LS-30",lesional
GSM372365,"Lesion Skin, LS-31",lesional
GSM372366,"Lesion Skin, LS-32",lesional
GSM372367,"Lesion Skin, LS-33",lesional
