cell_type,NS,PN,PP
Eccrine_gland,-0.22646310280286544,-0.19693357336307318,-0.1466409701951279
Endothelial,-0.21534818634657596,-0.18551533465741937,-0.09378351308309422
Fibroblast,-0.154042816010187,-0.1408763045040607,-0.01661334724756743
Keratinocyte,-0.22463458917808543,-0.09058381456185233,0.24283743761656282
Mast,-0.15580217835956117,-0.14486079728713375,0.008103369508313694
Melanocyte,-0.11671796248983247,-0.010970152131597374,0.36706454846318576
Myeloid,0.04540375198982654,0.11647177652353238,0.16622962679204928
Nerve,-0.19373780306096564,-0.10680484374907125,0.02667429097649901
Smooth_muscle,-0.18528728025961738,-0.1812050971359804,-0.08325615023764427
T_cell,-0.12527487141470942,-0.09006703900682433,0.0034852646145805636
