gene,log2FC,padj
SPRR2C,7.549,1.25e-155
S100A12,7.079,2.4300000000000002e-107
TCN1,6.396,3.18e-43
IGFL1,6.332,2.72e-72
GPR15LG,6.191,4.79e-113
KLK6,5.654,1.0099999999999999e-46
CXCL9,5.643,2.13e-34
LCE3D,5.413,2.41e-47
TMPRSS11D,5.275,3.34e-56
S100A7A,5.223,2.14e-19
DEFB4A,5.163,8.16e-17
CXCL10,5.102,2.65e-35
SERPINB4,5.086,6.73e-16
PI3,4.93,8.78e-26
LCN2,4.917,5.02e-34
ATP12A,4.871,4.6200000000000004e-32
AKR1B10,4.823,7.44e-57
GDA,4.804,1.1800000000000001e-73
KYNU,4.796,1.11e-68
SERPINB3,4.741,2.02e-26
MMP12,4.715,1.57e-27
SPRR2D,4.66,1.85e-27
KLK13,4.651,9.1e-51
ADAMDEC1,4.642,2.24e-41
OASL,4.638,6.79e-42
S100A9,4.62,4.21e-21
PRSS27,4.617,1.3e-57
HPSE,4.604,1.18e-85
OAS2,4.58,9.260000000000001e-43
IL36G,4.579,2.5999999999999997e-42
CXCL8,4.474,9.58e-18
SPRR2A,4.213,5.03e-37
SPRR2G,4.132,9.739999999999999e-30
EPSTI1,4.117,1.91e-42
RSAD2,4.097,5.48e-31
FCHSD1,4.041,4.78e-77
CXCL13,4.029,1.85e-21
TREX2,4.025,6.87e-35
KLHDC7B-DT,4.003,1.24e-36
LYZ,3.928,1.23e-18
RNASE7,3.868,1.47e-22
RHCG,3.841,5.65e-25
CHI3L2,3.821,6.1799999999999995e-28
CLEC7A,3.766,5.89e-44
IFI6,3.741,2.0199999999999997e-23
HERC6,3.715,7.52e-41
S100A7,3.705,2.7800000000000003e-21
OAS1,3.7,3.09e-41
MX1,3.663,9.87e-40
TYMP,3.639,7.02e-30
CMPK2,3.601,5.35e-38
IFI44L,3.574,3.85e-31
SPRR1A,3.568,5.14e-44
LTF,3.551,5.43e-13
CHRNA9,3.544,4.22e-46
DSC2,3.515,8.77e-20
HYAL4,3.513,2.79e-47
TMC5,3.501,3.1000000000000003e-43
SERPINB13,3.492,5.39e-24
VNN3P,3.484,1.2400000000000001e-29
CCL18,3.482,2.24e-12
APOBEC3A,3.461,4.34e-16
VNN1,3.457,7.83e-30
RGS20,3.436,2.66e-68
KLK8,3.42,1e-59
KRT9,3.411,5.1e-15
RTP4,3.407,1.6100000000000002e-32
CXCL1,3.403,3.8100000000000004e-21
IL19,3.337,8.47e-15
CD24P4,3.335,4.5600000000000005e-33
ISG15,3.319,1.6600000000000003e-27
KLHDC7B,3.314,3.09e-20
S100A8,3.312,1.54e-16
TGM3,3.299,2.4100000000000004e-35
BMAL2,3.294,7.59e-56
GDPD3,3.227,1.75e-66
STAT1,3.222,1.9300000000000002e-29
GZMB,3.21,5.33e-26
SLC26A9,3.21,1.0100000000000001e-29
IFI27,3.204,3.8900000000000003e-31
SLC6A14,3.197,2.14e-32
TK1,3.181,9.83e-47
TGM1,3.168,1.54e-45
TMPRSS4,3.162,3.21e-32
SLC5A1,3.142,1.9399999999999997e-34
CD2,3.122,9.020000000000001e-22
RRM2,3.12,7.1e-32
HTR3A,3.104,2.14e-13
CHAC1,3.092,1.3300000000000001e-21
CXCL11,3.064,8.93e-11
PCLAF,3.057,5.5399999999999995e-30
SLC7A11,3.037,2.26e-42
GABBR1,3.034,7.32e-18
HAL,3.018,7.36e-37
INA,3.015,6.979999999999999e-54
CCR7,3.012,8.26e-19
CCNB1,3.005,1.77e-33
CNFN,2.992,3.37e-48
MMP1,2.981,7.66e-13
FBXO45,2.978,4.28e-57
APOBEC3B,2.967,1.9400000000000002e-29
KRT16,2.964,1.14e-10
PRSS53,2.948,4.8e-22
SAMD9,2.946,4.3e-33
DLGAP5,2.945,1.0599999999999999e-34
IFIT3,2.937,1.14e-37
SPRR1B,2.921,1.64e-35
DHRS9,2.9,3.87e-18
IFI44,2.9,3.65e-21
PLBD1,2.891,1.45e-96
WFDC12,2.871,1.17e-17
PRKCQ,2.864,2.07e-21
CD274,2.85,2.5e-13
ARSF,2.847,2.02e-30
PRSS3,2.845,2.06e-45
OAS3,2.841,6.54e-22
OTUB2,2.823,1.28e-36
XDH,2.817,1.78e-16
CDKN3,2.815,2.0000000000000002e-29
LTB,2.785,1.64e-20
AIM2,2.776,3.15e-18
MKI67,2.774,6.57e-33
TNIP3,2.769,6.12e-12
TMEM86A,2.761,1.66e-47
LRP8,2.758,1.08e-47
ARG1,2.757,9.249999999999999e-24
CARHSP1,2.755,2.6399999999999998e-40
KRT6A,2.738,5.32e-19
ZDHHC21,2.736,1.54e-23
CD3D,2.721,1.16e-19
IL36RN,2.719,1.02e-40
LCK,2.718,5.86e-19
KRT6B,2.716,1.74e-15
LAMP3,2.716,1.4099999999999999e-24
ADAP2,2.715,8.159999999999999e-74
CDK5R1,2.713,1.61e-58
TRBC1,2.685,5.51e-18
SLAMF7,2.684,3.34e-36
GBP5,2.67,1.52e-19
GM2A,2.67,7.57e-12
GALNT6,2.669,3.0300000000000003e-21
PDZK1IP1,2.665,1.91e-39
PARP9,2.662,3.29e-41
TMEM45B,2.659,6.5400000000000004e-43
KLK10,2.644,7.86e-30
YIF1B,2.643,3.32e-32
ACP3,2.635,2.37e-46
IFIT1,2.625,6.67e-24
TYMS,2.623,3.59e-29
BIRC5,2.62,3.4599999999999998e-34
GK4P,2.618,1.2e-19
SPRR3,2.61,1.36e-11
BCL2A1,2.582,9.729999999999999e-30
LGALS2,2.58,4.06e-12
GJB2,2.566,1.31e-17
NDC80,2.545,6.11e-44
NLRX1,2.537,2.33e-34
CHAC2,2.534,1.3099999999999999e-42
PBK,2.533,1.13e-24
GGH,2.525,5.75e-57
CYSRT1,2.519,7.56e-50
AMMECR1,2.502,2.5e-14
SLC23A2,2.483,1.12e-14
CYP4F22,2.478,1.19e-38
SLURP2,2.475,1.09e-22
RIMS3,2.465,1.51e-28
HORMAD1,2.464,8.12e-09
HSD17B1,2.462,1.14e-32
ALDH3B2,2.46,6.31e-12
CENPN,2.455,6.749999999999999e-38
MAD2L1,2.447,2.34e-22
TTC39A,2.445,3.7100000000000004e-36
SELL,2.437,1.01e-08
FEN1,2.422,3.13e-32
TRIP13,2.422,3.1e-33
CDC20,2.412,6.21e-22
FLVCR2,2.412,1.93e-27
SPC25,2.408,4.5600000000000004e-29
APOL6,2.407,1.02e-19
MTFR2,2.389,1.0299999999999999e-38
ALOX12B,2.349,6.6e-27
UNC93A,2.349,7.6e-17
AURKA,2.346,1.93e-25
CDK1,2.343,1.14e-20
ASPM,2.341,2.4400000000000002e-21
PGLYRP4,2.337,1.53e-28
SH3PXD2A-AS1,2.313,1.01e-15
IL36A,2.311,1.7e-09
ESYT3,2.305,3.79e-31
CCL22,2.297,1.86e-14
CRABP2,2.29,2.19e-24
CCNA2,2.289,5.4800000000000004e-27
MELK,2.28,3.68e-33
C12orf56,2.278,1.2799999999999999e-28
GINS2,2.269,1.38e-24
CFAP251,2.268,4.35e-08
CCL13,2.259,1.17e-08
DNASE1L3,2.259,6.45e-31
NAPSB,2.255,6.45e-12
IFITM10,2.252,2.97e-25
MREG,2.246,9.010000000000001e-31
KRT78,2.245,1.44e-11
PPIF,2.239,3.39e-16
IL7R,2.232,2.38e-12
CD47,2.228,2.86e-56
GBP1,2.226,2.69e-29
KLHL18,2.225,4.42e-15
PRSS3P1,2.224,1.85e-40
AURKB,2.215,9.100000000000001e-32
POLR3G,2.21,1.55e-31
XAF1,2.206,6.84e-22
ZC3H12A,2.204,1.61e-10
GZMA,2.197,5.44e-14
KREMEN1,2.194,6.28e-22
PLA2G2F,2.192,3.98e-19
RAB27A,2.191,3.43e-29
OIP5,2.19,3.2e-29
SMPD3,2.184,2.6500000000000002e-33
CD24,2.178,6.49e-39
SDR9C7,2.175,9.73e-13
CENPE,2.168,5.06e-20
FAM43A,2.168,3.08e-41
TAP2,2.164,9.36e-18
PRR11,2.161,4.47e-27
CHEK1,2.16,8.95e-27
CYP2E1,2.151,1.74e-18
DDX60L,2.148,5.13e-28
STS,2.146,5.9e-19
CALHM6,2.143,3.29e-16
FABP5,2.132,2.38e-30
LYPD5,2.13,3.86e-17
TMEM54,2.13,9.41e-32
KIF4A,2.127,4.4299999999999996e-24
IVL,2.126,3.63e-13
ERAP2,2.125,1.01e-12
KIF2C,2.123,6.310000000000001e-21
PKP3,2.11,4.82e-13
BRIP1,2.107,2.56e-29
PYCARD,2.103,6.9300000000000005e-37
KLRB1,2.1,5.15e-18
SMOX,2.096,1.5600000000000002e-32
POLE2,2.094,1e-46
AFTPH-DT,2.093,1.5e-29
IDO1,2.082,5.18e-10
TPX2,2.081,1.43e-18
KIF20A,2.078,8.39e-20
PCGF5,2.078,8.11e-31
RAD51AP1,2.074,1.38e-26
LINC01094,2.073,6.34e-17
RAC2,2.067,1.41e-13
SPATA20,2.066,4.13e-30
HLA-DPA1,2.064,2.8e-11
KLK7,2.063,8.08e-19
ZWINT,2.048,1.07e-25
MMP9,2.043,5.6e-12
ATG9B,2.043,2.07e-17
CCNB2,2.043,5.21e-26
ATP10B,2.042,1.25e-26
CYP2C18,2.038,4.51e-18
ACP5,2.029,2.84e-38
UGT1A9,2.027,2.11e-08
SRD5A3,2.026,1.31e-40
TRIM14,2.019,6.1599999999999994e-30
TTK,2.019,4.77e-18
UBE2T,2.016,1.2e-20
CENPK,2.012,8.770000000000001e-21
CD48,2.008,5.49e-12
CD52,2.007,6.21e-13
MCM10,2.005,1.85e-16
GBP6,2.002,3.9e-13
OSBPL8,-2.001,8.66e-24
FASN,-2.006,1.76e-12
ZNF606,-2.007,2.54e-28
BACH2,-2.008,8.25e-28
GABARAPL1,-2.008,1.03e-28
IRF6,-2.011,7.99e-09
RGMA,-2.011,1.68e-21
CYP4B1,-2.012,6.31e-11
NR4A2,-2.014,1.78e-25
GATA3,-2.016,1.5e-20
P4HA1,-2.016,6.83e-21
ZNF415,-2.023,1.93e-30
FOXC1,-2.025,1.9000000000000003e-21
APOC1,-2.028,6.82e-19
