gene,log2FC,padj,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk,same_direction
S100A12,7.079,2.4300000000000002e-107,324.5415871357165,10.072770058886135,0.8767723746706132,11.48846650496976,1.5076441912188184e-30,1.3418033301847484e-27,True
TCN1,6.396,3.18e-43,869.5635324224108,8.990773909786299,0.7285832884661105,12.340077040079539,5.510313285235525e-35,6.923546574860637e-32,True
IGFL1,6.332,2.72e-72,750.8396695348445,7.105963516409636,0.6423883964921726,11.061786849221553,1.922293045597481e-28,1.3686726484654066e-25,True
GPR15LG,6.191,4.79e-113,3050.6748764539107,5.220640176561347,0.3468993154540372,15.049439257982801,3.4817292615942195e-51,1.4873947405530506e-47,True
KLK6,5.654,1.0099999999999999e-46,63.045851413722865,2.1093097963121332,0.6442410778815654,3.274100129175402,0.0010599904386031343,0.005179912095301521,True
CXCL9,5.643,2.13e-34,37.62447811932823,3.5927448701270457,0.7458770338513271,4.816805863529476,1.4587448859419519e-06,2.126879915612293e-05,True
LCE3D,5.413,2.41e-47,288.647492263931,3.414312795525312,0.7086986694366623,4.817721470028039,1.4520687673469074e-06,2.11859213596516e-05,True
TMPRSS11D,5.275,3.34e-56,206.43790798143155,8.49254383546166,0.8582059786599415,9.895694095166371,4.3458518036520797e-23,2.2101760601430575e-20,True
S100A7A,5.223,2.14e-19,2438.4985614595407,9.842127022369791,0.6739292590293592,14.604095148718013,2.644702608228584e-48,8.070121101680365e-45,True
DEFB4A,5.163,8.16e-17,3326.502078463641,12.476533086933948,0.8373113168271386,14.900709970351095,3.26095916284842e-50,1.1609014619740376e-46,True
CXCL10,5.102,2.65e-35,292.3433030509772,4.08421127735066,0.7525724808522263,5.427000563089454,5.7308947611345335e-08,1.334917252975285e-06,True
SERPINB4,5.086,6.73e-16,14588.757599166733,9.988629064713065,0.727265365128201,13.734503997660179,6.308662546239488e-43,1.2250275635243223e-39,True
PI3,4.93,8.78e-26,19596.333390426385,8.209061480978384,0.5178880492295456,15.851034780954848,1.3828493087631196e-56,9.845887078393411e-53,True
LCN2,4.917,5.02e-34,868.0256766122194,4.81957577769991,0.7208613214234976,6.685857091323208,2.295769801225948e-11,1.4338492091867323e-09,True
ATP12A,4.871,4.6200000000000004e-32,30.954584321903145,2.118530125495246,1.0664747820187557,1.986479344110725,0.04698012417831003,0.10883898616580286,True
AKR1B10,4.823,7.44e-57,1853.7482138172309,6.021842675221644,0.4289249699369945,14.039384734598695,8.948614657548225e-45,1.911424090852301e-41,True
GDA,4.804,1.1800000000000001e-73,99.032591261285,6.411531503838954,0.6121595678459275,10.473627858827573,1.1418139584076768e-25,7.173278279878816e-23,True
KYNU,4.796,1.11e-68,786.4333517162414,4.761411390362071,0.5132172698885956,9.277574371952905,1.7338057168017217e-20,6.3851879501525475e-18,True
SERPINB3,4.741,2.02e-26,7657.974657762307,5.569774000726316,0.5823141873123437,9.56489490052349,1.1231553442099283e-21,4.704038853396876e-19,True
