cell_type,condition,CCNB1,CDK1,CREB1,CYP1A1,MMP9,PTGS2
Eccrine_gland,NS,0.026378661372337464,0.0,0.07737869560779942,0.0013843519508358903,0.0,0.0
Eccrine_gland,PN,0.0,0.029219301104096106,0.1183733324496777,0.030806419380470434,0.005424502873459137,0.005427104463770004
Eccrine_gland,PP,0.012870442194854042,0.001998256807219797,0.11934252138165286,0.0,0.0,0.008226404996750845
Endothelial,NS,0.01927757255133845,0.008310408212217067,0.29876318518700334,0.0,0.0,0.0
Endothelial,PN,0.0036386041946982433,0.05411620848782123,0.2302715025914782,0.0,0.0,0.011972647741341035
Endothelial,PP,0.050578159220443494,0.015130807820540394,0.1437436881379118,0.002378996528758793,0.0,0.002171003613268207
Fibroblast,NS,0.01763128091546304,0.0015568887420493297,0.2820918081197719,0.003255971468336659,0.00016561667601900574,0.20886572079526378
Fibroblast,PN,0.01766045504332215,0.007074917618283626,0.17000286177453686,0.003639235617808397,0.0014570498761491944,0.20808559744217411
Fibroblast,PP,0.022192079318096445,0.010106098368318661,0.1865883952803979,0.0010292451522220245,0.0024596489186470886,0.08507105692944268
Keratinocyte,NS,0.060009010168006395,0.05388061687086496,0.18362869883196634,0.18484988014513667,0.00839317757473807,0.12460974612633936
Keratinocyte,PN,0.02944902250394457,0.036033715807382474,0.14651319145144098,0.12110730128718566,0.007911132814452191,0.08185332968285844
Keratinocyte,PP,0.1090682437400545,0.10019574061742616,0.1429684433088504,0.02147211308013415,0.003122263746463085,0.07482372554857497
Mast,NS,0.018715543718429515,0.0,0.12780911819925825,0.0,0.0,0.21266240569506306
Mast,PN,0.0,0.0,0.06903321190736914,0.00998758814544406,0.0,0.22712711753194234
Mast,PP,0.0,0.05418137496368066,0.1778713500409428,0.0,0.007391309137689842,0.23194367636788876
Melanocyte,NS,0.0315644269581453,0.0031511516971716984,0.33928923071570766,0.019216662791678586,0.0,0.007666660389226951
Melanocyte,PN,0.01135763932924755,0.0038272700037368062,0.2704267851897245,0.024441756626440266,0.0,0.006128938281514198
Melanocyte,PP,0.024833934018763465,0.009128361985150874,0.25695269919478336,0.018571239624437467,0.0034870893787479354,0.002749556041818193
Myeloid,NS,0.02298714460568896,0.0358921183952156,0.21756305119825028,0.0790292448562972,0.24781474746671633,0.3190784349969843
Myeloid,PN,0.019167702359408005,0.03402840695677444,0.19882361703340376,0.1054988651646322,0.19281523427264907,0.14040215519361735
Myeloid,PP,0.029638832194477202,0.048251551583358976,0.21753261942044427,0.12618103437030806,0.2112536520402823,0.1972378023807465
Nerve,NS,0.0,0.0,0.2622972148774535,0.0,0.0,0.0
Nerve,PN,0.013101946152969078,0.0,0.16448943896466275,0.0,0.0,0.0
Nerve,PP,0.0,0.010135195802014956,0.1861439434264524,0.0,0.0,0.0
Smooth_muscle,NS,0.019677049051617452,0.0010998522124120776,0.2890367963817936,0.0,0.0,0.020832504477729736
Smooth_muscle,PN,0.006830720167118971,0.00954109855646086,0.2348756760178301,0.002146741621853626,0.0008644924565225504,0.01995709333379964
Smooth_muscle,PP,0.010591513783283261,0.013944770279643507,0.21989068879824164,0.0012426375311672918,0.002551235308517022,0.007476243431454068
T_cell,NS,0.021916134181835124,0.009940293733631247,0.17111378508264652,0.0013811072518753406,0.07836115644377112,0.03148866487586163
T_cell,PN,0.020611360484290023,0.019553778597107236,0.17615121151671936,0.0019338325686846973,0.046352153970187424,0.02848770090732253
T_cell,PP,0.018239680196803026,0.023397878136922328,0.1585528713480674,0.004494789573998658,0.02135246663431749,0.0021038382989811547
