cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25
KRT1,S100A2,COL17A1,MT1X,FABP5,IL32,S100A8,SPARCL1,COL6A2,KRT2,DCN,S100A7,IGFBP7,KRT2,DCT,PTTG1,HLA-DRA,COL1A2,DCN,ACTA2,SBSN,KRT17,TPSB2,CCL21,KRT19,PMP22
RPS18,ATP1B3,KRT14,RPLP1,S100A8,CD52,FABP5,GNG11,COL6A1,KRT10,CFD,SPRR1B,TAGLN,CALML5,TYRP1,HMGB2,CD74,COL1A1,FBLN1,TAGLN,CALML5,KRT6B,TPSAB1,TFF3,KRT18,GPM6B
DMKN,COL17A1,KRT5,RPS3A,S100A9,B2M,S100A9,CD74,COL1A2,DMKN,APOD,CD24,CALD1,KRTDAP,MLANA,TOP2A,HLA-DPB1,COL3A1,CFD,TPM2,SPINK5,SOX9,FTH1,GNG11,KRT7,S100B
KRT10,KRT14,DST,RPL18,S100A7,TMSB4X,S100A7,PECAM1,COL3A1,KRTDAP,C1S,S100A8,MYL9,DMKN,PMEL,UBE2C,HLA-DPA1,COL6A2,MMP2,MYL9,CNFN,GJB6,CTSG,MMRN1,AQP5,CD9
RPL13,KRT5,CXCL14,RPS8,KRT6A,MALAT1,CRABP2,RAMP2,COL1A1,PERP,GSN,PI3,ADIRF,SLURP1,QPCT,BIRC5,HLA-DRB1,COL6A1,CCN5,MYH11,SLURP1,PPDPF,HPGD,TFPI,KRT8,CRYAB
DSP,KRT15,KRT15,KRT5,S100A2,SRGN,KRT16,HLA-E,SFRP2,KRT1,CCDC80,SBSN,CPE,SBSN,CD59,MKI67,HLA-DQB1,DCN,S100A6,DSTN,KLK7,CALML5,HPGDS,IGFBP7,SLC12A2,PLP1
RPS8,PDLIM1,RPLP1,RPL13,LY6D,CD3D,SERPINB4,EGFL7,MMP2,DSC1,CFH,S100A9,NR2F2,CTNNBIP1,GPM6B,NUSAP1,HLA-DQA1,LGALS1,CCDC80,ADIRF,HOPX,RBP1,FTL,CLDN5,PPP1R1B,SPARC
PERP,CXCL14,HOPX,RPS24,CRABP2,S100A4,CALML3,AQP1,DCN,LGALS7B,CXCL12,SPRR2A,ACTA2,DSC1,EMP3,CENPF,TYROBP,COL6A3,GSN,CALD1,NCCRP1,TM4SF1,ANXA1,CAVIN2,PDCD4,S100A6
RPLP1,LAMB3,SYT8,RPS19,S100A14,PTPRC,KRT6A,A2M,TWIST2,SBSN,SERPING1,SPRR2E,TIMP3,PERP,MITF,H2AZ1,TMSB4X,SPARC,PLAC9,TPM1,POF1B,CALML3,H3-3B,ECSCR,PEBP1,FXYD1
CCL27,FSCN1,TGFBI,RPS7,GAPDH,CORO1A,S100A14,TMSB10,C1S,DSG1,MGP,SERPINB3,MGP,KRT10,PLP1,TUBA1B,HLA-DMA,LUM,COL1A2,RERGL,CST6,BARX2,PTMA,SNCG,AZGP1,MPZ
LGALS7B,TXNDC17,S100A2,DSC3,SLC25A5,HCST,CSTB,CLDN5,S100A6,DSP,COL6A2,SERPINB4,SEPTIN7,SCEL,CYB561A3,STMN1,CST3,MMP2,TIMP2,IGFBP7,LY6G6C,CAPNS2,FCER1G,EGFL7,ATP1B1,VIM
RPS7,ALDH3A1,PDLIM1,RPL7A,GSTP1,TRAC,SERPINB3,TM4SF1,LGALS1,LYPD3,C1R,CALML3,TPM2,SPINK5,CDC42EP3,HMGB1,LST1,CTSK,TNXB,SPARCL1,TMEM45A,CLTB,LGALS3,TM4SF1,SCGB1D2,LGALS1
RPL18,NCOA7,IL18,RPS18,KRT16,ARHGDIB,KRT6B,NPDC1,IGFBP4,CTNNBIP1,IGFBP7,S100A7A,IFITM3,LYPD3,SAT1,CENPW,AIF1,MFAP4,FSTL1,MCAM,KRT80,SPINT2,S100A6,TMSB10,COX7C,CDH19
DSC3,DST,ATF3,RPL6,KRT5,HLA-A,LY6D,TXNIP,FBLN1,KCNK7,SOD3,CSTB,TPM1,CLIC3,CD63,CKS1B,CYBA,S100A6,FBLN2,C11orf96,SCEL,SOSTDC1,S100A4,RAMP2,SCGB2A2,PEBP1
RPL8,ZC3H12A,EGR1,RPL8,AKR1B10,HLA-B,PDZK1IP1,HLA-DRB1,APCDD1,KLK11,COL1A2,KRTDAP,SPARC,CSTA,SNCA,CDKN3,GPR183,CFD,FBN1,FLNA,CASP14,SDC1,RGS13,S100A10,CHCHD10,CALM2
